coin,date,market_cap,volume,open,close
Bitcoin,2022-04-15,"$759,703,443,635","$22,744,792,147","$39,959","$40,587"
Bitcoin,2022-04-14,"$783,560,801,482","$25,453,869,986","$41,205","$39,959"
Bitcoin,2022-04-13,"$764,314,681,923","$27,804,694,935","$40,206","$41,205"
Bitcoin,2022-04-12,"$752,680,814,425","$30,168,665,078","$39,604","$40,206"
Bitcoin,2022-04-11,"$803,574,629,065","$14,936,318,819","$42,275","$39,604"
Bitcoin,2022-04-10,"$812,734,148,493","$13,949,535,312","$42,796","$42,275"
Bitcoin,2022-04-09,"$804,272,478,981","$24,202,906,401","$42,316","$42,796"
Bitcoin,2022-04-08,"$827,032,889,945","$22,960,138,784","$43,515","$42,316"
Bitcoin,2022-04-07,"$820,983,263,462","$34,113,818,642","$43,199","$43,515"
Bitcoin,2022-04-06,"$867,247,321,783","$25,474,063,862","$45,635","$43,199"
Bitcoin,2022-04-05,"$885,584,977,681","$28,019,309,651","$46,623","$45,635"
Bitcoin,2022-04-04,"$882,346,640,419","$21,510,196,790","$46,435","$46,623"
Bitcoin,2022-04-03,"$871,050,305,859","$24,803,837,260","$45,842","$46,435"
Bitcoin,2022-04-02,"$879,144,224,206","$32,948,605,532","$46,270","$45,842"
Bitcoin,2022-04-01,"$865,010,142,445","$27,736,469,646","$45,528","$46,270"
Bitcoin,2022-03-31,"$895,356,010,541","$24,497,248,306","$47,063","$45,528"
Bitcoin,2022-03-30,"$901,430,001,889","$26,128,040,681","$47,459","$47,063"
Bitcoin,2022-03-29,"$892,747,620,148","$30,051,327,357","$46,995","$47,459"
Bitcoin,2022-03-28,"$887,283,025,181","$22,545,392,530","$46,715","$46,995"
Bitcoin,2022-03-27,"$845,235,093,873","$13,676,534,294","$44,511","$46,715"
Bitcoin,2022-03-26,"$842,031,938,722","$26,147,756,108","$44,332","$44,511"
Bitcoin,2022-03-25,"$834,251,096,725","$26,212,783,704","$43,936","$44,332"
Bitcoin,2022-03-24,"$810,894,331,278","$21,851,891,599","$42,802","$43,936"
Bitcoin,2022-03-23,"$803,937,099,701","$28,688,623,151","$42,402","$42,802"
Bitcoin,2022-03-22,"$779,205,413,379","$21,335,882,483","$41,062","$42,402"
Bitcoin,2022-03-21,"$784,054,464,872","$16,856,192,302","$41,283","$41,062"
Bitcoin,2022-03-20,"$800,887,993,391","$16,580,741,572","$42,202","$41,283"
Bitcoin,2022-03-19,"$794,378,970,588","$30,316,128,166","$41,837","$42,202"
Bitcoin,2022-03-18,"$778,474,325,710","$18,861,644,943","$41,002","$41,837"
Bitcoin,2022-03-17,"$779,761,001,844","$34,974,203,469","$41,166","$41,002"
Bitcoin,2022-03-16,"$747,642,430,664","$20,768,829,818","$39,332","$41,166"
Bitcoin,2022-03-15,"$751,354,026,219","$21,250,969,229","$39,669","$39,332"
Bitcoin,2022-03-14,"$718,551,088,031","$14,461,647,576","$37,853",N/A
Bitcoin,2022-03-13,"$738,456,528,058","$12,440,826,654","$38,904","$37,853"
Bitcoin,2022-03-12,"$738,267,961,693","$23,624,165,275","$38,775","$38,904"
Bitcoin,2022-03-11,"$749,384,110,700","$27,653,455,219","$39,468","$38,775"
Bitcoin,2022-03-10,"$796,849,504,897","$29,211,702,119","$41,986","$39,468"
Bitcoin,2022-03-09,"$735,453,953,726","$22,556,397,749","$38,733","$41,986"
Bitcoin,2022-03-08,"$723,198,804,468","$24,596,395,439","$38,076","$38,733"
Bitcoin,2022-03-07,"$729,501,899,968","$16,995,562,041","$38,443","$38,076"
Bitcoin,2022-03-06,"$748,197,160,856","$14,818,212,145","$39,463","$38,443"
Bitcoin,2022-03-05,"$743,810,477,766","$25,121,267,306","$39,200","$39,463"
Bitcoin,2022-03-04,"$807,454,920,682","$22,366,184,129","$42,492","$39,200"
